@relation 'BreastCancerAll-weka.filters.unsupervised.attribute.Remove-V-R302,1195,1441,1471,1673,1966,1975,2007,2019,2054,2139,2170,2630,3150,3211,3401,3435,3593,3659,4322,4553,4629,4757,4795,5271,6437,6785,6851,6859,6911,7022,7213,7317,7345,7347,7754,8607,8797,8905,8913,8917,9589,9593-9595,9597-9598,9601-9603,9605,9725,9945,10674,11613,11969,11987,12034,12038,12181'

@attribute 302_chrom1_reg44816452-46047207_probnorm numeric
@attribute 1195_chrom2_reg15573647-20346474_probgain numeric
@attribute 1441_chrom2_reg126478953-126745976_probloss numeric
@attribute 1471_chrom2_reg131945577-132042781_probgain numeric
@attribute 1673_chrom3_reg12735694-14873985_probloss numeric
@attribute 1966_chrom3_reg128485208-128664764_probnorm numeric
@attribute 1975_chrom3_reg130189196-130206126_probgain numeric
@attribute 2007_chrom3_reg143686906-144718154_probgain numeric
@attribute 2019_chrom3_reg156981865-159692979_probgain numeric
@attribute 2054_chrom3_reg166639991-168786545_probnorm numeric
@attribute 2139_chrom3_reg196908262-196937230_probgain numeric
@attribute 2170_chrom4_reg833085-843614_probnorm numeric
@attribute 2630_chrom4_reg187735989-188875290_probnorm numeric
@attribute 3150_chrom6_reg1292057-1353261_probnorm numeric
@attribute 3211_chrom6_reg18550170-18661357_probgain numeric
@attribute 3401_chrom6_reg62843325-63283741_probloss numeric
@attribute 3435_chrom6_reg69133049-69809498_probgain numeric
@attribute 3593_chrom6_reg110630205-111025278_probloss numeric
@attribute 3659_chrom6_reg128962975-130409779_probgain numeric
@attribute 4322_chrom8_reg184617-320897_probnorm numeric
@attribute 4553_chrom8_reg32812909-32947324_probloss numeric
@attribute 4629_chrom8_reg36779836-36973293_probloss numeric
@attribute 4757_chrom8_reg42014398-42175380_probloss numeric
@attribute 4795_chrom8_reg43264404-43385428_probgain numeric
@attribute 5271_chrom9_reg7319454-7723767_probgain numeric
@attribute 6437_chrom11_reg59634380-59984619_probloss numeric
@attribute 6785_chrom11_reg76858917-77204725_probloss numeric
@attribute 6851_chrom11_reg83733321-85064586_probgain numeric
@attribute 6859_chrom11_reg86480032-87537774_probgain numeric
@attribute 6911_chrom11_reg104063199-105016068_probgain numeric
@attribute 7022_chrom12_reg7894681-7915622_probnorm numeric
@attribute 7213_chrom12_reg51241859-52425218_probloss numeric
@attribute 7317_chrom12_reg72645832-73482351_probloss numeric
@attribute 7345_chrom12_reg80739510-81659894_probloss numeric
@attribute 7347_chrom12_reg80739510-81659894_probgain numeric
@attribute 7754_chrom13_reg94449214-95725796_probnorm numeric
@attribute 8607_chrom16_reg4670009-7442625_probgain numeric
@attribute 8797_chrom16_reg47641974-47668511_probloss numeric
@attribute 8905_chrom16_reg68606309-68648091_probloss numeric
@attribute 8913_chrom16_reg68710277-68751390_probloss numeric
@attribute 8917_chrom16_reg68838368-68874167_probloss numeric
@attribute 9589_chrom17_reg34900309-34925507_probloss numeric
@attribute 9593_chrom17_reg34940330-35067992_probloss numeric
@attribute 9594_chrom17_reg34940330-35067992_probnorm numeric
@attribute 9595_chrom17_reg34940330-35067992_probgain numeric
@attribute 9597_chrom17_reg35076296-35282086_probloss numeric
@attribute 9598_chrom17_reg35076296-35282086_probnorm numeric
@attribute 9601_chrom17_reg35286565-35336158_probloss numeric
@attribute 9602_chrom17_reg35286565-35336158_probnorm numeric
@attribute 9603_chrom17_reg35286565-35336158_probgain numeric
@attribute 9605_chrom17_reg35344057-35385941_probloss numeric
@attribute 9725_chrom17_reg41458670-41494331_probloss numeric
@attribute 9945_chrom17_reg49218134-49331755_probloss numeric
@attribute 10674_chrom18_reg64796820-68375250_probnorm numeric
@attribute 11613_chrom21_reg13660680-14258259_probloss numeric
@attribute 11969_chrom22_reg41221190-41290227_probloss numeric
@attribute 11987_chrom22_reg42652021-43322780_probgain numeric
@attribute 12034_chrom23_reg384298-385792_probnorm numeric
@attribute 12038_chrom23_reg422315-462468_probnorm numeric
@attribute class {HER2+,TN,HR+}

@data
0.979,0.013,0.007,0.007,0.008,0.985,0.007,0.995,0.995,0.974,0.019,0.984,0.979,0,0.007,0.004,0.007,0.001,0.699,0.945,0.034,0.034,0.034,0.009,0,0.008,0.016,0,0,0,0,0.003,0,0,0.976,0,0.011,0.001,0.025,0.025,0.025,0.016,0.016,0.954,0.028,0.016,0.954,0.016,0.954,0.028,0.016,0.016,0,0.08,0,1,0,0.384,0.384,TN
0.137,0.022,0.003,0.022,0.009,0.03,0.967,0.967,0.967,0.019,0.004,0.018,0.979,0.852,0,0,0.478,0,0.478,0.282,0.717,0.717,0,0.862,0.004,0.003,0.002,0.375,0.375,0.375,0.777,0.004,0.004,0.004,0.009,0.976,0.539,0,0,0,0,0.069,0.069,0.929,0.001,0.069,0.929,0.069,0.929,0.001,0.069,0.069,0.053,0.954,0,0,0.935,0,0,TN
0.256,0.01,0.007,0.007,0.001,0.085,0,0.549,0.549,0.968,0.97,0.851,0.977,0.714,0.475,0,0.91,0.756,0.001,0.026,0.973,0,0,0.289,0.389,0.003,0.003,0,0,0.018,0.065,0,0.967,0.964,0,0,0.997,0,0.016,0.016,0.016,0.001,0.001,0.018,0.971,0.001,0.018,0.001,0.018,0.971,0.001,0.001,0,0.014,0,0.011,0.026,0.916,0,TN
0,0.804,0.006,0.008,0,0,0.764,0.764,0.843,0,0.878,0.987,0.002,0,0.929,0,0.923,0.041,0.019,0,0.038,0.038,0,0.649,0.732,0,0,0.578,0.578,0.58,0,0.014,0.018,0.018,0.013,0,0.798,0.001,0,0,0,0.018,0.018,0.976,0.005,0.018,0.976,0.018,0.976,0.005,0.018,0.018,0.019,0,0,0,0.98,0,0,TN
0.979,0.006,1,0.008,0.007,0.985,0.007,0.007,0.007,0.975,0.016,0.988,0.98,0.989,0.006,0.004,0.007,1,0,0.947,0.033,0.033,0.03,0.01,0,1,0,0,0,0,0,0,0,0,0.975,0.977,0.013,0,0.991,0.02,0.02,0.019,0.019,0.956,0.024,0.019,0.956,0.019,0.956,0.024,0.019,0.019,0.024,0.976,0,0,0.015,0.539,0,HR+
0.979,0.006,0.006,0.008,0.007,0.975,0.017,0.017,0.017,0.976,0.983,0.988,0.98,0.913,0.086,0.001,0.128,0.001,0.128,0.954,0.038,0.038,0.031,0.01,0.73,0.021,0.021,0.012,0.012,0.012,0.204,0,0,0,0.86,0.977,0.998,0.034,0.035,0.998,0.036,0.042,0.042,0.956,0.002,0.042,0.956,0.042,0.956,0.002,0.042,0.042,0.029,0.51,0,0.033,0.009,0.603,0.603,HR+
0.979,0.006,0.009,0.006,0.008,0.975,0.016,0.016,0.016,0.976,0.015,0.987,0.979,0.082,0.005,0.996,0,1,0,0.954,0.038,0.038,0.034,0.009,0.004,1,1,0,0,0,0,0.018,0.018,0.018,0.012,0.998,0.993,0.001,0.001,0.001,0.001,0.027,0.027,0.955,0.017,0.027,0.955,0.027,0.955,0.017,0.027,0.027,0.024,0.975,0,1,0,0.664,0.664,HR+
0.979,0.007,0.006,0.008,0,0.124,0.874,0.874,0.874,0.124,0.874,0.986,0.979,0.003,0.992,0,0,0.999,0,0.087,0.002,0.002,0.002,0.885,0.756,0.04,0.999,0,0,0,0.136,0,0,0,0.855,0.998,0.997,0.998,0.998,0.998,0.998,0.026,0.026,0.971,0.004,0.026,0.971,0.026,0.971,0.004,0.026,0.026,0.026,0.178,0,0.993,0,0.805,0.805,HR+
0.979,0.007,0.008,0.008,0.007,0.985,0.008,0.008,0.008,0.975,0.016,0.987,0.98,0.989,0.007,0.004,0.007,0.004,0.007,0.959,0.031,0.031,0.03,0.01,0.005,0.007,0.02,0.012,0.012,0.012,0.986,0.004,0.004,0.004,0.01,0.977,0.013,0,0,0,0,0.026,0.026,0.97,0.003,0.026,0.97,0.026,0.97,0.003,0.026,0.026,0.026,0.976,0,0.022,0.012,0.207,0.207,HR+
0.979,0.99,0,0.99,0,0,0.797,0.778,0.778,0,0,0.99,0.976,0.025,0.987,0,0.992,0,0.848,0.963,0.035,0.035,0.045,0.007,0.989,0.007,0.007,0.004,0.004,0.004,0.001,0,0,0,0.811,0.972,0.039,0.024,0.024,0.024,0.024,0.026,0.026,0.971,0.004,0.026,0.971,0.026,0.971,0.004,0.026,0.026,0.019,0.976,0,0.013,0.022,0.003,0.003,HR+
0.979,0.006,0.009,0.006,0.009,0.985,0.006,0.006,0.006,0.976,0.015,0.987,0.978,0.989,0.007,0.005,0.006,0.005,0.006,0.955,0.036,0.036,0.028,0.011,0.004,0.016,0.022,0.011,0.011,0.011,0.986,0.004,0.004,0.004,0.009,0.977,0.996,0.999,0.999,0.017,0.998,0.029,0.029,0.968,0.003,0.029,0.968,0.029,0.968,0.003,0.029,0.029,0.023,0.974,0,0.997,0,0.853,0.853,HR+
0.979,0.006,0.008,0.007,0.007,0.985,0.008,0.008,0.008,0.975,0.017,0.988,0.98,0.989,0.007,0.999,0,0.999,0,0,0.032,0.032,0.032,0.009,0.005,0.019,0.019,0.013,0.013,0.013,0.984,0.004,0.004,0.004,0.009,0.998,0.013,0.933,0.998,1,0.999,0.025,0.025,0.971,0.004,0.025,0.971,0.025,0.971,0.004,0.025,0.025,0.021,0.977,0,0.17,0.003,0.805,0.805,HR+
0.024,0,0.996,0,1,0.976,0.011,0.011,0.011,0.974,0.019,0,0.009,0.057,0.005,0.006,0.005,1,0,0,1,1,1,0,0.004,0.013,0.017,0.014,0.014,0,0.98,0.016,0.016,0.016,0.014,0,0.022,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0.958,1,0.019,0,0,HR+
0.048,0.676,0.009,0.006,0.012,0.983,0.005,0.005,0.005,0.976,0,0.335,0.003,0.987,0.008,0.005,0.006,0.987,0.022,0,1,0.017,0.028,0.011,0,0.006,0.024,0.01,0.01,0.01,0.504,0,0.022,0.022,0.011,0.01,0.563,0.427,0.728,0.728,0.728,0,0,0.002,0.966,0,0.002,0,0.002,0.966,0,0.787,0.95,0.978,0,0.837,0,0.84,0.84,HER2+
0.499,0,0.006,0.008,0.025,0.972,0.003,0.003,0.003,0.972,0.003,0.043,0.979,0.923,0.441,0.006,0,0.927,0,0,1,1,1,0,0,0,0.826,0,0,0,0.682,0.38,0.38,0.001,0.749,0.851,0.002,0,0,0.999,0.018,0,0,0,0,0.014,0.95,0.014,0.95,0.034,0.014,1,1,0.977,0,0.025,0,0.918,0.918,HER2+
0.979,0.069,0.014,0.249,0.002,0.928,0.069,0.069,0.069,0.897,0,0.674,0.979,0,0.556,0,0.933,0,0.972,0.01,0.99,0.99,0.986,0,0.003,0,0.977,0,0,0,0.302,0.003,0,0,0.916,0.998,0.815,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0.978,0,0.389,0,0.033,0.009,0,0,HER2+
0.979,0.001,1,0,0.005,0.985,0.007,0.013,0.993,0.976,0.879,0.987,0.978,0.987,0.99,0.005,0.006,1,0,0,0.029,0.029,0.029,0.011,0,0.02,0.02,0.012,0.012,0,0.985,0.003,0,0,0.054,0.977,0.01,0.001,1,1,1,0.031,0.031,0.966,0.003,0.031,0.966,0.031,0.966,0.003,0.031,0.031,0.023,0.772,0,0.039,0.007,0.278,0.278,HR+
0,0.971,0,0.864,0,0.007,0.989,0.989,0.989,0.961,0.901,0.988,0.363,0.968,0.022,0,0.023,0.141,0.007,0,1,0,0,0.23,0,0.001,0.002,0,0.007,0,0.046,0,0,0,0.914,0.057,0.989,0,0.089,0.089,0.001,0.025,0.025,0.956,0.018,0.025,0.956,0.025,0.956,0.018,0.025,0.05,0,0.651,0,0.016,0.017,0,0,HR+
0.966,0.007,0.008,0.007,0.014,0.982,0.004,0.004,0.004,0.976,0.014,0.988,0.98,0.988,0.008,0.004,0.007,0.004,0.007,0.957,0.041,0.041,0.029,0.01,0.004,0.007,0.007,0.004,0.004,0.004,0.986,0.004,0.004,0.004,0.01,0.998,0.014,0,0,0,0,0.046,0,0,0.206,0,0,0,0,0.206,0,0.007,0.007,0.969,0,0.019,0.014,0,0,HER2+
0.973,0.007,0.007,0.007,0.182,0.977,0.003,0.003,0.31,0.939,0.057,0,0.767,0.988,0.005,0.001,0.044,0.001,0.044,0,1,0.578,1,0.001,0.001,0.009,0.005,0.078,0.078,0.078,0.982,0.002,0.002,0.002,0.016,0.745,0.001,0.986,0.983,1,0.975,0,0,0,0,0.011,0.866,0.973,0.027,0,0.973,0.973,0.89,0.954,0,0.04,0.007,0.889,0.889,HER2+
0.978,0.978,0.001,0.102,0.468,0.29,0,0.001,0.022,0.975,0.016,0.33,0.528,0.478,0.001,0.275,0.001,0,0.962,0.123,0.837,0.837,0.757,0,0,0.673,0.716,0,0,0,0.307,0,0,0.024,0.01,0.977,0.149,0,0,0,0,0,0,0,0.204,0,0,0,0,0,1,1,0,0.197,0,0.037,0.008,0.915,0.915,HER2+
0,0.07,0.002,0.07,0.096,0.985,0.008,0.008,0.008,0.971,0.023,0.554,0.868,0.898,0.101,0.001,0.039,0.017,0.971,0.012,0.992,0.212,0.025,0.013,0.002,0.004,0.024,0.01,0.01,0.012,0.986,0.008,0.008,0.008,0.005,0.986,0.018,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0.643,0,0.726,0.048,0.936,0,0.016,0.017,0.929,0.929,HER2+
0,0.061,0.002,0.044,0.007,0.985,0.008,0.008,0.008,0.985,0,0.964,0.978,0.989,0.007,0.004,0.007,0,0.834,0.042,0.958,0.958,0.958,0,0.001,0.017,0,0.012,0.012,0.012,0.224,0.12,0.003,0.127,0.003,0.848,0.755,0.325,0.325,1,0.308,0,0,0,0,0,0,0,0,0,0,0.501,0,0.729,0,0.018,0.015,0.782,0.782,HER2+
0.979,0.008,0.007,0.236,0.007,0.985,0.007,0.007,0.007,0.972,0.016,0.988,0.98,0.985,0.006,0.992,0.024,0.037,0,0.002,0.997,0.025,0.998,0,0.005,0.018,0.017,0.014,0.014,0.014,0,0.004,0.004,0.004,0.009,0.998,0.01,0.996,0.253,0.253,0.253,0.033,0.033,0.964,0.003,0.033,0.964,0.033,0.964,0.003,0.033,0.033,0.008,0.977,0,0.995,0,0.882,0.882,TN
0,0.944,0,0.993,0.003,0.049,0.948,0.969,0.987,0.003,0.834,0.963,0.005,0.048,0.95,0,0.827,0,0.939,0.004,0.997,0.997,0.027,0.889,1,0,0.022,0.011,0.011,0.011,0,0.01,0.019,0.019,0.012,0,0.025,0,0.016,0.016,0.016,0,0,0,0.895,0,0,0,0,0.895,0,0,0.009,0,0.006,0,0.955,0.033,0.033,TN
0.001,0.007,0.006,0.008,0,0.022,0.976,0.976,0.976,0.016,0.981,0.989,0.98,0.983,0.986,0,0.987,0.787,0.001,0.037,0.963,0,0,0.972,0,0.01,0.021,0.011,0.011,0.011,0.043,0,0,0,0.946,0.001,0.987,0.961,1,1,1,0,0,0,0.971,0,0,0,0,0.971,0,0,0,0.003,0,1,0,0.907,0.907,HR+
0.116,0.846,0.007,0.007,0.007,0,0.991,0.991,0.991,0,0.043,0.987,0.978,0.983,0.854,0,0.847,0,0.847,0.071,0.001,0.001,0.002,0.857,0.733,0.001,0,0.915,0.915,0.014,0.049,0.003,0.018,0.018,0.012,0.079,0.017,0,0,0,0,0.026,0.026,0.97,0.003,0.026,0.97,0.026,0.97,0.003,0.026,0.026,0.02,0.96,0,0,0.443,0.356,0.356,TN
0.978,0.006,0.008,0.006,0.009,0.985,0.006,0.006,0.006,0.975,0.016,0.988,0.988,0.984,0.006,0.005,0.006,1,0,0,1,0,0,0.372,0.004,0.021,0.021,0.012,0.012,0.012,0,0,0,0,0.975,0,0.011,0.001,0.001,0.001,0.001,0.03,0.03,0.967,0.003,0.03,0.967,0.03,0.967,0.003,0.03,0.03,0.024,0,0,0.025,0.011,0.937,0.937,HR+
0.979,0.006,0.009,0.011,0.965,0.029,0,0,0,0.021,0.088,0.988,0.98,0.985,0.012,0.003,0.012,0.003,0.012,0.959,0.032,0.027,0.029,0.01,0.004,0.02,0.02,0.012,0.012,0,0.987,0.005,0.005,0.005,0.008,0.016,0.066,0,0.986,0.986,0.986,0.025,0.025,0.956,0.018,0.025,0.956,0.025,0.956,0.018,0.025,0.025,0.023,0.977,0,0.989,0.013,0.872,0.872,HR+
0.973,0.006,0.006,0.008,0.007,0.985,0.009,0.009,0.009,0.973,0.01,0.025,0.011,0.417,0.925,0,0,0.987,0,0,0.07,0,1,0.958,0.515,0.032,0.023,0.011,0.011,0.011,0.037,0,0,0,0.785,0.066,0.994,0.001,0.003,0.078,0.078,0,0,0,0,0,0,0,0,0,0,0.991,0.917,0.009,0,0.002,0.343,0,0.874,HER2+
0.979,0.006,0.006,0.007,0.008,0.985,0.007,0.007,0.007,0.976,0.015,0.989,0.989,0.989,0.006,0.004,0.007,0.004,0.007,0,1,1,1,0.015,0.004,0.021,0.021,0.012,0.012,0.012,0.778,0.001,0.001,0.001,0.219,0.998,0.998,0.852,0.704,0.704,0.704,0,0,0,0,0,0,0,0,0,0,0.795,0,0.364,0.003,0.027,0.01,0.92,0.92,HER2+
0.75,0,0.797,0,0,0.976,0.014,0.014,0.014,0.975,0.765,0.99,0.974,0,0,0.944,0,0.085,0.01,0.009,1,1,1,0,0,0.003,0.014,0,0,0,0.956,0.003,0.003,0.003,0.01,0.483,0.936,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0.59,0.297,0.002,0.898,0.898,HR+
0.979,0.005,0.009,0.006,0.008,0.985,0.006,0.006,0.006,0.985,0.006,0.987,0.987,0.989,0.006,0.005,0.006,0.005,0.006,0.954,0.038,0.038,0.032,0.009,0,0.007,0.022,0.011,0.011,0.011,0.986,0.004,0.004,0.004,0.008,0.977,0.011,0.001,0.997,0.997,0.997,0.031,0.031,0.966,0.003,0.031,0.966,0.031,0.966,0.003,0.031,0.031,0.024,0.001,0,0.028,0.011,0.921,0,HR+
0.979,0.005,0.007,0.007,0,0.07,0.928,0.928,0.928,0.029,0.968,0.988,0.979,0.001,0.995,0,0.004,0.273,0.004,0.934,0.004,0.004,0.005,0.553,0.004,0.007,0.022,0.011,0.011,0.011,0.008,0,0,0,0.939,0.001,0.916,0,0,0,0,0,0,0.017,0.959,0,0.017,0,0.017,0.959,0,0,0,0.01,0.001,0.981,0,0.025,0.025,HR+
0.978,0.77,0.006,0.007,0,0.106,0.891,0.891,0.891,0.028,0.647,0,0.978,0.989,0.007,0.004,0.007,0.004,0.007,0.012,0.988,0.988,0.993,0,0.004,0,0,0.16,0.16,0,0.979,0.002,0.002,0.002,0.019,0.2,0.001,0,0.953,0.953,0.953,0,0,0,0,0,0,0,0,0,0,0.876,0,0.023,0.012,0,0.856,0.853,0.853,HER2+
0.979,0,0.007,0.007,0.008,0.985,0.007,0.007,0.007,0.976,0,0.988,0.988,0.005,0.08,0.005,0.006,0.005,0.006,0.001,0,0.002,0.999,0,0.004,0.016,0.022,0.011,0.011,0.011,0,0.004,0.004,0.004,0.008,0.002,0.012,0,0,0,0,0.998,0,0,0,0,0,0,0,0,0,0.992,0.998,0.973,0,0.022,0.012,0.927,0.927,HER2+
0.205,0.972,0.007,0,0.979,0.974,0.019,0.037,0.037,0.94,0.933,0,0,0,0.026,0.09,0,0.062,0.02,0,0.987,0.02,0.003,0.008,0.991,0.023,0.011,0,0.231,0,0.776,0.966,0.966,0.966,0,0.873,0,0.962,0.962,0.469,0.469,0.05,0.05,0.948,0.002,0.05,0.948,0.05,0.948,0.002,0.05,0.05,1,0.915,0,1,0,0.04,0.04,TN
0.979,0.006,0.009,0.006,0.009,0.985,0.007,0.007,0.007,0.985,0.007,0.988,0.978,0.989,0.006,0.005,0.006,0.005,0.006,0.957,0.034,0.034,0.034,0.009,0.004,0.008,0.022,0.011,0.011,0.011,0.987,0.004,0.004,0.004,0.009,0.998,0.012,0.001,0.001,0.001,0.001,0.03,0.03,0.967,0.003,0.03,0.967,0.03,0.967,0.003,0.03,0.03,0.03,0,0,0.003,0.002,0.023,0.023,TN
0.979,0.005,0.012,0.005,1,0.967,0.994,0.027,0.027,0.968,0.031,0,0,0.002,0.006,0.005,0.006,0,0.835,0,0.03,0.03,0.03,0.01,0,0.012,0.013,0.018,0.018,0.039,0.987,0.013,0.019,0,0.975,0,0.013,0.025,0.002,0.002,0,0.019,0.019,0.956,0.024,0.019,0.956,0.019,0.956,0.024,0.019,0.019,0.018,0,0,0.005,0.001,0.766,0.766,TN
0.062,0.009,0.006,0.009,0,0.008,0,0,0,0.005,0.478,0.985,0.003,0,0.992,0.004,0.009,0.004,0.009,0,0.002,0.999,0.005,0.474,0,0,0.019,0.013,0.013,0.013,0.02,0.013,0.013,0.013,0.017,0,0,0.001,0.029,0.029,0.029,0,0,0,0,0,0,0,0,0,0,0.982,0.998,0.186,0,0.023,0.012,0.933,0.933,HER2+
0.092,0.004,0.007,0.008,0.001,0.977,0.003,0.003,0.003,0.973,0.991,0.005,0.228,0.937,0.068,0.011,0,0.981,0,0,1,0,0,0.954,0,0.729,0,0,0,0,0.182,0,0.016,0.016,0.014,0.998,0.016,0.967,0.974,0.974,0.974,0,0,0,0.926,0,0,0,0,0.926,0,0,0,0.978,0,0.984,0,0.846,0.846,HR+
0,0.005,0.01,0.005,0.008,0.029,0,0,0,0.027,0,0.984,0.014,0.988,0.007,0.001,0.755,0.039,0,0,1,0.988,0.983,0,0,0.923,0.923,0,0,0,0.249,0.951,0,0,0.842,0.021,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.023,0,0,1,0,0.907,0.907,HER2+
0.979,0.007,0.008,0.007,0.007,0.985,0.008,0.008,0.008,0.975,0.99,0.988,0.98,0.003,0.007,0.004,0.007,0.004,0.007,0.96,0.029,0.029,0.03,0.01,0.005,0.019,0.019,0.013,0.013,0.013,0.983,0.004,0.004,0.004,0.009,0.998,0.121,0.999,0.999,0.999,0.999,0.031,0.031,0.966,0.003,0.031,0.966,0.031,0.966,0.003,0.031,0.031,0.022,0.977,0,0.999,0,0.907,0,HR+
0.855,0.017,0.009,0.005,0.011,0.946,0.05,0.05,0.05,0.943,0.054,0.987,0.98,0.51,0.488,0,0,0.001,0.754,0.002,0.998,0,0.002,0.912,0.995,0.603,0.764,0.074,0.074,0,0.982,0.001,0.001,0.001,0.127,0.594,0.447,0.857,0.982,0.982,0.982,0,0,0,0,0,0,0,0,0,0.973,0.982,0.995,0.019,0,0.002,0.347,0.88,0.88,HER2+
0.035,0.007,0,0.949,0.007,0.05,0.948,0.948,0.987,0.03,0.967,0.362,0,0,0.746,0,0.988,0.036,0.022,0,0.033,0.033,1,0,0.005,0.001,0,0.928,0.928,0.928,0,0.016,0.017,0.017,0.013,0,0.891,0,0.029,0.029,0.029,0.023,0.023,0.956,0.02,0.023,0.956,0.023,0.956,0.02,0.023,0.023,0.001,0.025,0,0,0.983,0,0,TN
0.976,0.007,0,0.99,0.009,0,0.973,0.977,0.977,0,0.977,0.91,0,0.243,0.971,0,0.021,0.042,0.019,0.744,0.035,0.035,0.053,0.006,0,0,0,0.884,0.884,0.884,0.004,0,0,0,0.88,0,0.04,0,0.027,0.027,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985,0,0,TN
0.945,0.007,0.008,0.007,0.411,0.952,0.045,0.045,0.269,0.087,0.752,0.862,0.446,0.988,0.007,0.004,0.007,0.004,0.007,0.262,0.035,0.035,0.029,0.011,0.007,0.018,0.019,0.013,0.013,0.013,0.977,0.261,0.261,0.261,0.002,0.554,0.016,0.003,0.003,0.003,0.003,0.567,0.567,0.431,0.001,0.567,0.431,0.567,0.431,0.001,0.567,0.567,0.012,0.401,0,0.004,0.142,0.664,0.664,TN
0.27,0.99,0,0.172,0.009,0,0.994,0.994,0.994,0,0.993,0.986,0.974,0.017,0.98,0,0.972,0,0.972,0.149,0.976,0,0,0.759,0.999,0.001,0.001,0,0,0.944,0.985,0.001,0,0,0.879,0.977,0.78,0,0,0,0,0.02,0.02,0.975,0.005,0.02,0.975,0.02,0.975,0.005,0.02,0.02,0.014,0.58,0,0.014,0.02,0.416,0,TN
0.977,0.254,0.002,0.056,0.001,0.888,0.11,0.11,0.11,0.888,0.983,0.921,0.951,0.987,0.005,0.001,0.043,0.001,0.043,0.066,0.934,0.934,0.933,0,0.004,0.015,0.019,0.013,0.013,0.013,0.984,0.003,0.003,0,0.935,0.906,0.864,0,0,0.018,0.018,0.033,0.033,0.964,0.003,0.033,0.964,0.033,0.964,0.003,0.033,0.033,0.027,0.968,0,0.005,0.082,0.002,0.002,TN
0.979,0.08,0.001,0.319,0.597,0,0.963,0.963,0.963,0,0.189,0.987,0.294,0.573,0.005,0.071,0.903,0,0.957,0.042,0.005,0.853,0.951,0,0,0.017,0.014,0.94,0.94,0.066,0.984,0.015,0.015,0.015,0.015,0.291,0.02,0,0,0,0,0.824,0.824,0.176,0,0.824,0.176,0.824,0.176,0,0.824,0.824,0.824,0.168,0,0.704,0.001,0.118,0.118,TN
0,0.009,0.009,0.006,1,0,0.995,0.995,0.995,0,0,0,0,0.985,0.995,0.007,0.005,1,0,0.939,1,1,0.043,0.007,0,0.004,0,0,0,0,0.965,1,1,1,0,0,0.016,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0.961,0,0.007,0,0,0.07,TN
0.976,0.009,0.006,0.009,0.018,0.979,0.004,0.004,0.004,0.956,0.04,0.981,0.98,0.988,0.008,0.004,0.008,0.004,0.008,0.685,0.313,0.313,0.095,0.004,0.003,0.021,0.017,0.014,0.014,0.014,0.988,0.005,0.005,0.005,0.007,0.998,0.01,0.001,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0.117,0.01,0.951,0,0.029,0.009,0,0,TN
0.004,0.6,0.01,0.574,0,0,0.995,0.863,0.863,0,0.963,0.527,0.668,0.017,0.958,0,0.995,0,0.847,0.877,0.008,0.008,0.003,0.712,0.003,0.029,0,0.019,0.019,0.019,0,0.019,0.012,0.012,0.019,0.411,0.922,0,0,0.527,0,0.011,0.011,0.977,0.012,0.011,0.977,0.011,0.977,0.012,0.011,0.011,0.011,0.08,0,0,0.962,0,0,TN
